研修プログラムコード,職種カテゴリコード,コース番号,職種名,目的,表示順
gen,A,01,経理職,①経理職に従事する従業員(雇用契約書上の職務が該当する方)が、②経理文書作成・経理データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる経理文書作成・経理データ整理・月次決算、経理ルーチンの生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,1
gen,A,02,財務・資金管理職,①財務・資金管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②財務文書作成・資金データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる財務文書作成・資金データ整理・資金計画、資金管理の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,2
gen,A,03,総務職,①総務職に従事する従業員(雇用契約書上の職務が該当する方)が、②総務文書作成・台帳データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる総務文書作成・台帳データ整理・社内対応、総務ルーチンの生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,3
gen,A,04,人事職(採用),①人事職(採用)に従事する従業員(雇用契約書上の職務が該当する方)が、②採用文書作成・応募データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる採用文書作成・応募データ整理・選考設計、採用フローの生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,4
gen,A,05,人事職(教育・評価),①人事職(教育・評価)に従事する従業員(雇用契約書上の職務が該当する方)が、②育成文書作成・育成データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる育成文書作成・育成データ整理・育成企画、育成業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,5
gen,A,06,労務職,①労務職に従事する従業員(雇用契約書上の職務が該当する方)が、②労務文書作成・勤怠データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる労務文書作成・勤怠データ整理・労務対応、労務ルーチンの生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,6
gen,A,07,一般事務職,①一般事務職に従事する従業員(雇用契約書上の職務が該当する方)が、②事務文書作成・事務データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる事務文書作成・事務データ整理・業務整備、定型業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,7
gen,A,08,営業事務職,①営業事務職に従事する従業員(雇用契約書上の職務が該当する方)が、②受発注文書作成・受注データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる受発注文書作成・受注データ整理・顧客対応、受注処理の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,8
gen,A,09,貿易事務職,①貿易事務職に従事する従業員(雇用契約書上の職務が該当する方)が、②貿易文書作成・船積データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる貿易文書作成・船積データ整理・貿易対応、貿易業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,9
gen,A,10,調達・購買職,①調達・購買職に従事する従業員(雇用契約書上の職務が該当する方)が、②購買文書作成・仕入データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定したデジタル化対象工程について、④生成AIによる購買文書作成・仕入データ整理・調達戦略、購買業務の生成AIテンプレート作成とその運用・修正手順を演習形式で習得し、⑤受講後に自身の日次・週次業務へ組み込み、実務で活用することを目的とします。,10
