開催パターンコード,日目,コマ記号,表示順
A,1,B0,1
A,1,B11,2
A,1,B12,3
A,1,B21,4
A,1,B22,5
A,1,B3,6
A,1,B4,7
A,2,B5,1
A,2,C1,2
A,2,C2,3
A,2,D1,4
A,2,D2,5
A,2,D3,6
B,1,B0,1
B,1,B11,2
B,1,B12,3
B,1,B21,4
B,1,B22,5
B,2,B3,1
B,2,B4,2
B,2,B5,3
B,3,C1,1
B,3,C2,2
B,3,D1,3
B,3,D2,4
B,3,D3,5
C,1,B0,1
C,1,B11,2
C,1,B12,3
C,1,B21,4
C,2,B22,1
C,2,B3,2
C,2,B4,3
C,3,B5,1
C,3,C1,2
C,4,C2,1
C,4,D1,2
C,4,D2,3
C,4,D3,4
D,1,B0,1
D,1,B11,2
D,1,B12,3
D,2,B21,1
D,2,B22,2
D,2,B3,3
D,3,B4,1
D,3,B5,2
D,4,C1,1
D,4,C2,2
D,5,D1,1
D,5,D2,2
D,5,D3,3
