研修プログラムコード,コース番号,コマ記号,表示順,所要時間,タイトル,説明
gen,01,B0,1,0.5,経理職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,01,B11,2,0.5,生成AIによる経理文書作成・基礎,仕訳摘要文の下書き生成
gen,01,B12,3,1.0,生成AIによる経理文書作成・実践,請求書送付状・入金お礼・支払督促メール / 経費精算ルールの社内周知文
gen,01,B21,4,0.5,生成AIによる経理データ整理・基礎,領収書・請求書画像の表データ化
gen,01,B22,5,0.5,生成AIによる経理データ整理・実践,経費CSVの科目別集計と異常値検知 / 月次推移表の作成
gen,01,B3,6,1.0,生成AIによる月次決算応用①,試算表からの予実差異コメント下書き / 月次報告資料の構成案作成
gen,01,B4,7,1.0,生成AIによる月次決算応用②,税理士への質問リスト整理
gen,01,B5,8,1.0,生成AIによる月次決算総合演習,ここまでの成果物を統合し、自身の業務を題材とした月次決算の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,01,C1,9,1.5,経理ルーチンの生成AIテンプレート作成,月次サイクル(請求発行→記帳→集計→報告)のテンプレート化 / 勘定科目判定・締め作業チェックリストの自動生成
gen,01,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,01,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,01,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,01,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,02,B0,1,0.5,財務・資金管理職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,02,B11,2,0.5,生成AIによる財務文書作成・基礎,金融機関への借入申込説明文
gen,02,B12,3,1.0,生成AIによる財務文書作成・実践,資金繰り状況の社内報告文 / 支払条件交渉メール
gen,02,B21,4,0.5,生成AIによる資金データ整理・基礎,入出金明細の月次資金繰り表化
gen,02,B22,5,0.5,生成AIによる資金データ整理・実践,売掛・買掛サイトの一覧化 / キャッシュフロー予測表の作成
gen,02,B3,6,1.0,生成AIによる資金計画応用①,資金繰りシナリオ比較(楽観・悲観)
gen,02,B4,7,1.0,生成AIによる資金計画応用②,金融機関向け事業計画書の下書き
gen,02,B5,8,1.0,生成AIによる資金計画総合演習,ここまでの成果物を統合し、自身の業務を題材とした資金計画の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,02,C1,9,1.5,資金管理の生成AIテンプレート作成,週次資金繰り更新テンプレート / 借入関連書類チェックリスト
gen,02,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,02,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,02,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,02,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,03,B0,1,0.5,総務職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,03,B11,2,0.5,生成AIによる総務文書作成・基礎,社内通達・案内文(規程改定・行事・防災訓練)
gen,03,B12,3,1.0,生成AIによる総務文書作成・実践,取引先への挨拶状・慶弔文書
gen,03,B21,4,0.5,生成AIによる台帳データ整理・基礎,備品台帳・契約更新期限の一覧化とアラート設計
gen,03,B22,5,0.5,生成AIによる台帳データ整理・実践,社用車・会議室の運用ルール整理
gen,03,B3,6,1.0,生成AIによる社内対応応用①,社内FAQ(よくある問い合わせ)の整備
